index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
1,gold-1,7,75d7ea5871854283881d085a0966f5b4,0.235,13.888,0.176,18.518,28.333,396.2,40.016,15.21,3.18,18.052,42.185,6.427,0.37,64.008,9.637,63.093,34.712,2.193,47.202,53.076,47.133,53.173,69.776,30.223,45.234,34.434,20.331,0.16,0.156,enforcer
2,gold-1,7,7.66E+16,0.681,61.0,0.201,9.5,58.999,306.1,101.391,7.399,4.526,7.599,21.194,27.38,0.555,59.404,8.437,70.886,27.497,1.616,58.188,49.434,48.08,59.542,76.175,23.824,55.355,27.86,16.784,0.1,0.06,defender
3,gold-1,7,7.66E+16,0.74,47.0,0.42,18.666,50.249,353.5,26.859,11.48,4.799,3.416,15.235,22.113,0.899,63.486,11.71,59.071,38.234,2.694,54.233,49.431,54.984,48.639,81.858,18.141,44.118,31.754,24.126,0.16,0.02,ball_chaser
4,gold-1,7,e311993a419b4c78bd729a2119f29f81,0.533,32.232,0.097,29.732,45.619,363.3,65.08,9.836,2.701,47.734,63.009,4.555,0.656,59.943,8.758,58.429,39.011,2.559,47.68,59.845,52.669,54.823,63.612,36.387,42.526,29.889,27.584,0.08,0.06,playmaker
5,gold-1,7,d352f722a75643de903f409bd62a488e,0.391,16.666,0.076,34.166,20.999,274.8,21.404,10.002,2.903,10.262,27.689,14.243,0.294,57.395,4.851,70.379,27.593,2.027,53.919,49.242,41.941,61.208,70.873,29.126,51.686,32.176,16.137,0.079,0.138,playmaker
6,gold-1,7,7.66E+16,0.407,45.0,0.195,24.5,54.333,253.6,54.367,9.842,2.498,9.444,28.1,18.211,0.364,61.673,7.999,66.143,32.178,1.677,54.172,47.138,48.314,52.974,72.878,27.121,55.01,28.163,16.826,0.13,0.097,defender
7,gold-1,7,35bf521a991d4725bde8930ce3e52b9e,0.4,38.833,0.116,14.166,59.333,333.5,27.884,7.443,3.529,11.798,27.987,13.896,0.443,60.83,7.295,61.038,36.644,2.316,51.364,50.919,50.829,51.454,74.895,25.104,48.79,32.041,19.168,0.1,0.073,striker
8,gold-1,7,799fafb72ed7487185537389a745d2f2,0.599,61.166,0.1,4.0,57.619,299.9,42.172,8.53,3.02,13.423,30.97,13.868,0.579,58.282,5.867,65.699,31.867,2.433,51.212,49.98,49.466,51.725,76.258,23.741,49.454,29.843,20.701,0.093,0.086,striker
9,gold-1,7,3b3085d10e504c3482af580b3c44e5da,0.515,45.833,0.108,13.333,50.166,277.0,45.935,8.968,3.171,10.54,27.212,16.274,0.502,60.391,7.758,66.619,32.033,1.346,51.228,52.116,47.262,56.06,69.761,30.238,46.524,30.767,22.707,0.15,0.157,enforcer
10,gold-1,7,e10c9efdaa7c441eb2762b5e4daf56aa,0.622,50.0,0.118,23.611,32.38,362.65,67.153,7.614,3.66,14.506,26.911,16.536,0.518,58.989,8.598,61.373,36.168,2.457,51.459,50.449,50.551,51.341,75.716,24.283,51.134,29.264,19.6,0.063,0.102,playmaker
