rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
supersonic-legend,22,76561198271524740,0.618,23.333,0.344,28.333,21.999,356.4,0.579,64.691,14.672,8.033,34.606,31.232,34.162,31.889,38.086,74.061,25.938,42.876,24.212,0.057,freestyler
supersonic-legend,22,76561198076736523,0.739,31.481,0.26,35.185,21.666,425.3,0.7,69.956,18.583,8.126,32.437,31.466,36.097,36.947,29.935,71.293,28.706,44.052,23.735,0.14,freestyler
supersonic-legend,22,76561198162286169,0.534,27.0,0.234,42.666,18.333,397.1,0.614,67.16,16.219,7.116,37.884,31.999,30.117,33.829,33.01,74.734,25.265,50.78,17.719,0.294,playmaker
supersonic-legend,22,76561199022253180,0.514,27.777,0.263,16.666,22.499,471.5,1.018,67.695,15.149,6.459,30.287,32.902,36.811,33.268,32.203,67.487,32.512,42.696,23.745,0.15,
supersonic-legend,22,76561198887002043,0.56,35.833,0.2,35.0,23.19,448.4,0.859,67.865,19.033,6.943,32.779,33.708,33.513,35.445,30.987,71.829,28.17,44.601,22.506,0.12,
supersonic-legend,22,cf78e7f3566c440192a2b2dd4d957cdb,0.38,22.222,0.387,37.962,25.357,461.1,0.61,69.573,18.753,5.952,40.698,33.007,26.295,28.788,38.068,75.973,24.026,49.851,17.428,0.324,
supersonic-legend,22,76561198046350719,0.393,43.333,0.209,20.0,36.666,374.7,0.292,63.56,11.048,7.999,38.929,30.615,30.456,30.543,38.35,73.204,26.795,51.467,15.662,0.232,
supersonic-legend,22,76561198851511517,0.541,66.296,0.22,13.888,48.5,379.9,0.449,65.547,13.734,5.928,36.08,31.265,32.655,34.733,32.304,74.44,25.559,51.922,17.97,0.299,
supersonic-legend,22,76561198879556725,0.416,25.0,0.154,40.0,14.166,422.1,0.599,67.839,16.761,6.105,30.428,32.483,37.089,33.326,33.39,67.709,32.29,45.297,18.915,0.388,
supersonic-legend,22,76561198870883023,0.731,52.592,0.202,30.185,31.023,379.3,0.522,64.308,10.827,7.074,35.153,33.914,30.933,34.044,32.133,72.11,27.889,48.06,21.002,0.271,
supersonic-legend,22,76561198960727776,0.736,27.777,0.288,25.0,18.166,475.5,0.952,70.643,22.633,8.119,33.772,29.5,36.728,32.691,37.055,71.461,28.538,43.849,24.551,0.214,
supersonic-legend,22,76561199218624664,0.36,17.592,0.26,25.0,20.833,317.6,0.54,63.047,11.714,6.153,34.72,34.16,31.12,32.223,32.758,74.513,25.486,46.852,20.607,0.28,
