index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_amount_used_while_supersonic,boost_count_collected_small,boost_count_collected_big,boost_percent_zero_boost,boost_percent_boost_0_25,boost_percent_full_boost,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_low_air,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_neutral_third,positioning_percent_offensive_third,demo_inflicted,demo_taken,playstyle
0,supersonic-legend,22,7.66E+16,0.618,23.333,0.344,28.333,21.999,356.4,43.519,11.873,3.167,7.9,24.127,22.739,0.579,64.691,14.672,49.775,42.191,8.033,34.606,34.162,31.889,38.086,74.061,25.938,42.876,32.911,24.212,0.057,0.146,freestyler
1,supersonic-legend,22,7.66E+16,0.739,31.481,0.26,35.185,21.666,425.3,85.28,10.88,4.22,13.372,39.133,12.039,0.7,69.956,18.583,51.997,39.875,8.126,32.437,36.097,36.947,29.935,71.293,28.706,44.052,32.211,23.735,0.14,0.1,freestyler
2,supersonic-legend,22,7.66E+16,0.534,27.0,0.234,42.666,18.333,397.1,46.195,13.443,3.799,9.166,28.595,13.864,0.614,67.16,16.219,52.867,40.016,7.116,37.884,30.117,33.829,33.01,74.734,25.265,50.78,31.499,17.719,0.294,0.214,defender
3,supersonic-legend,22,7.66E+16,0.514,27.777,0.263,16.666,22.499,471.5,67.659,10.886,4.375,18.159,40.674,8.941,1.018,67.695,15.149,53.634,39.905,6.459,30.287,36.811,33.268,32.203,67.487,32.512,42.696,33.557,23.745,0.15,0.213,enforcer
4,supersonic-legend,22,7.66E+16,0.56,35.833,0.2,35.0,23.19,448.4,68.18,14.639,4.0,13.457,41.942,7.662,0.859,67.865,19.033,48.823,44.232,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,32.892,22.506,0.12,0.12,ball_chaser
5,supersonic-legend,22,cf78e7f3566c440192a2b2dd4d957cdb,0.38,22.222,0.387,37.962,25.357,461.1,76.2,14.971,3.795,15.687,39.698,8.958,0.61,69.573,18.753,55.187,38.86,5.952,40.698,26.295,28.788,38.068,75.973,24.026,49.851,32.72,17.428,0.324,0.222,defender
6,supersonic-legend,22,7.66E+16,0.393,43.333,0.209,20.0,36.666,374.7,36.578,11.216,3.417,11.427,37.725,9.628,0.292,63.56,11.048,54.726,37.273,7.999,38.929,30.456,30.543,38.35,73.204,26.795,51.467,32.869,15.662,0.232,0.252,freestyler
7,supersonic-legend,22,7.66E+16,0.541,66.296,0.22,13.888,48.5,379.9,51.89,12.0,3.729,12.558,30.175,12.459,0.449,65.547,13.734,53.36,40.71,5.928,36.08,32.655,34.733,32.304,74.44,25.559,51.922,30.107,17.97,0.299,0.133,striker
8,supersonic-legend,22,7.66E+16,0.416,25.0,0.154,40.0,14.166,422.1,80.371,12.018,4.013,16.366,39.551,15.492,0.599,67.839,16.761,60.421,33.472,6.105,30.428,37.089,33.326,33.39,67.709,32.29,45.297,35.787,18.915,0.388,0.089,enforcer
9,supersonic-legend,22,7.66E+16,0.731,52.592,0.202,30.185,31.023,379.3,47.375,11.648,3.254,7.857,32.843,7.584,0.522,64.308,10.827,55.13,37.795,7.074,35.153,30.933,34.044,32.133,72.11,27.889,48.06,30.937,21.002,0.271,0.306,striker
10,supersonic-legend,22,7.66E+16,0.736,27.777,0.288,25.0,18.166,475.5,82.835,11.914,4.737,15.963,38.689,7.209,0.952,70.643,22.633,51.489,40.391,8.119,33.772,36.728,32.691,37.055,71.461,28.538,43.849,31.599,24.551,0.214,0.288,freestyler
12,supersonic-legend,22,7.66E+16,0.763,50.666,0.246,22.0,43.777,381.4,37.036,11.196,3.757,9.816,31.063,13.814,0.904,68.734,15.344,48.886,44.387,6.726,30.881,36.952,38.048,29.279,71.769,28.23,48.972,28.972,22.054,0.255,0.129,ball_chaser
13,supersonic-legend,22,bebb996b68284b54acfc06418d150f19,0.351,29.0,0.388,23.5,56.666,399.3,60.31,10.536,4.273,8.724,24.135,15.183,0.694,69.73,18.206,49.678,44.357,5.963,37.129,30.977,31.969,35.248,75.245,24.754,51.805,30.05,18.144,0.196,0.157,defender
14,supersonic-legend,22,7.66E+16,0.773,34.0,0.302,23.5,32.638,424.3,56.389,13.502,4.125,10.841,32.276,10.93,0.728,69.826,17.458,53.832,38.826,7.34,29.631,35.919,38.759,28.228,72.796,27.203,47.064,30.847,22.088,0.233,0.076,ball_chaser
17,supersonic-legend,22,7.66E+16,0.582,67.222,0.174,12.222,62.999,428.8,84.71,10.813,4.898,7.82,32.431,17.588,0.971,71.739,20.144,50.934,42.041,7.023,32.592,33.39,34.91,32.124,67.456,32.543,46.528,31.37,22.101,0.14,0.122,striker
18,supersonic-legend,22,7.66E+16,0.639,52.777,0.363,17.592,23.499,353.5,37.987,12.895,3.556,7.274,25.466,15.999,0.598,65.052,13.738,53.469,38.934,7.596,34.021,32.066,36.308,30.476,73.643,26.356,47.597,30.995,21.406,0.163,0.223,freestyler
19,supersonic-legend,22,7.66E+16,0.4,62.5,0.42,7.5,64.999,342.9,43.26,10.48,3.56,7.808,28.478,18.879,0.539,65.273,14.838,55.531,38.5,5.968,37.558,31.633,32.309,35.89,69.196,30.803,53.994,29.96,16.044,0.2,0.16,defender
20,supersonic-legend,22,7.66E+16,0.485,51.0,0.231,13.0,57.499,445.9,111.233,15.059,3.91,8.382,26.385,9.843,0.558,72.791,24.511,58.624,36.558,4.817,40.258,26.978,30.816,34.465,78.105,21.894,52.332,29.428,18.238,0.208,0.259,defender
22,supersonic-legend,22,7.66E+16,0.871,55.0,0.585,20.833,27.547,449.3,115.406,11.751,4.462,10.336,34.139,9.807,0.657,72.939,25.545,56.59,36.438,6.971,32.965,33.844,37.484,30.022,74.346,25.653,49.429,30.009,20.56,0.262,0.248,ball_chaser
24,supersonic-legend,22,7.66E+16,0.537,26.666,0.402,40.833,30.5,426.0,71.86,14.443,4.155,12.113,36.702,10.907,0.728,67.386,16.743,50.253,41.987,7.758,31.569,35.079,37.545,29.653,69.99,30.009,49.073,29.843,21.082,0.108,0.199,ball_chaser
25,supersonic-legend,22,7.66E+16,0.73,40.0,0.342,17.5,31.666,451.6,86.102,10.297,4.873,13.24,33.974,10.797,1.134,70.078,19.435,53.199,39.26,7.54,31.512,35.418,34.261,32.959,66.785,33.214,40.8,32.228,26.97,0.19,0.099,enforcer
26,supersonic-legend,22,7.66E+16,0.665,57.5,0.451,15.0,26.666,439.9,61.444,12.142,4.142,10.15,36.011,9.858,0.885,66.343,15.28,59.098,34.999,5.901,34.661,29.512,33.62,32.069,68.39,31.609,44.253,32.99,22.755,0.263,0.1,enforcer
27,supersonic-legend,22,7.66E+16,0.283,26.25,0.32,30.0,20.833,359.0,41.331,11.982,3.476,7.831,25.855,14.276,0.546,67.147,15.393,54.656,38.21,7.133,37.266,29.721,29.625,36.172,70.34,29.659,48.95,33.698,17.35,0.2,0.195,defender
28,supersonic-legend,22,7.66E+16,0.727,49.444,0.379,20.555,40.261,363.4,45.604,13.544,3.914,8.358,26.796,11.068,0.638,67.852,15.091,55.018,37.984,6.997,35.664,30.71,32.709,35.443,75.277,24.722,47.278,34.268,18.452,0.291,0.216,striker
29,supersonic-legend,22,7.66E+16,0.737,39.0,0.199,23.333,34.833,405.9,38.727,11.115,3.941,16.532,38.566,9.984,0.795,67.256,13.985,50.366,44.607,5.026,26.34,40.961,33.676,34.382,65.833,34.166,44.751,31.783,23.465,0.278,0.239,enforcer
30,grand-champion-3,21,7.66E+16,0.974,54.166,0.341,12.5,38.19,442.7,43.047,12.629,4.368,10.916,36.383,14.081,0.973,70.66,18.75,46.557,45.481,7.96,35.054,31.964,32.895,33.199,70.849,29.15,45.043,32.767,22.188,0.068,0.253,striker
31,grand-champion-3,21,7.66E+16,0.749,30.833,0.236,27.5,38.499,411.4,55.25,10.424,3.926,15.511,38.319,7.899,0.58,69.086,16.405,51.356,42.987,5.655,36.188,31.657,31.755,37.403,71.502,28.497,47.448,31.079,21.471,0.235,0.168,defender
32,grand-champion-3,21,7.66E+16,0.512,15.0,0.188,48.333,17.666,404.3,47.619,8.834,3.847,18.858,41.742,10.956,0.841,67.369,14.866,46.813,44.748,8.437,29.116,35.279,34.314,29.505,67.866,32.133,42.686,32.635,24.677,0.108,0.088,freestyler
33,grand-champion-3,21,7.66E+16,0.312,31.851,0.403,17.592,61.666,404.5,51.093,10.885,4.497,10.294,37.467,11.016,0.472,66.856,14.362,52.97,38.302,8.726,43.493,24.572,32.491,35.107,74.538,25.461,52.677,30.531,16.791,0.096,0.136,defender
35,grand-champion-3,21,1e7054842bd54f75b9c6ff3320ac8f30,0.382,19.629,0.15,35.185,47.499,318.0,29.35,9.756,3.461,10.811,29.513,9.233,0.77,63.878,9.678,60.198,34.158,5.643,27.371,37.044,31.252,32.862,64.349,35.65,42.935,35.01,22.053,0.152,0.332,playmaker
36,grand-champion-3,21,4dacf92b044847ccbab7071e365a6940,0.836,35.833,0.257,14.166,23.333,295.0,24.394,8.143,2.344,5.655,48.458,5.592,0.197,67.413,8.687,54.799,40.786,4.413,34.315,30.444,37.582,28.215,76.132,23.867,47.619,30.316,22.064,0.08,0.26,ball_chaser
37,grand-champion-3,21,7.66E+16,0.528,41.666,0.217,15.833,52.833,422.5,85.868,14.157,4.071,12.399,37.619,9.499,0.58,70.943,20.844,55.71,37.56,6.729,36.299,30.821,30.279,36.64,70.951,29.048,48.108,32.168,19.723,0.211,0.257,defender
38,grand-champion-3,21,7.66E+16,0.56,35.833,0.2,35.0,23.19,448.4,68.18,14.639,4.0,13.457,41.942,7.662,0.859,67.865,19.033,48.823,44.232,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,32.892,22.506,0.12,0.12,playmaker
39,grand-champion-3,21,7.66E+16,0.492,39.814,0.191,23.148,34.0,345.3,60.375,11.18,3.171,13.369,34.55,10.437,0.646,68.913,18.097,57.598,37.327,5.074,33.076,33.358,30.858,35.259,70.319,29.68,49.255,29.647,21.096,0.314,0.217,enforcer
40,grand-champion-3,21,7.66E+16,0.578,30.666,0.283,50.166,22.499,446.5,94.948,12.234,4.102,19.232,42.74,7.214,0.751,71.213,20.893,56.461,38.292,5.245,35.409,30.752,32.853,32.798,76.089,23.91,48.444,33.355,18.199,0.232,0.118,playmaker
41,grand-champion-3,21,7.66E+16,0.637,32.407,0.394,21.296,28.5,497.6,96.222,13.364,4.853,15.025,35.458,11.209,1.011,72.613,26.937,50.581,42.675,6.742,36.532,32.067,33.021,37.442,73.586,26.413,46.319,30.395,23.285,0.428,0.194,defender
42,grand-champion-3,21,7.66E+16,0.71,52.333,0.394,27.166,44.999,362.3,53.318,10.155,3.47,10.925,30.478,13.816,0.49,67.169,16.095,56.7,37.184,6.115,29.948,31.962,35.641,26.8,70.994,29.005,49.712,29.243,21.043,0.11,0.159,striker
43,grand-champion-3,21,45c8410f114446a1ba02fdf3f5f36099,0.39,14.583,0.41,31.25,11.666,379.9,75.117,12.788,3.155,12.413,41.384,6.83,0.5,65.526,13.903,60.819,35.184,3.995,38.385,30.302,31.191,35.112,75.603,24.396,49.302,31.1,19.596,0.19,0.28,defender
44,grand-champion-3,21,99008469cb5f42f59794da9df94be145,0.808,30.333,0.451,29.666,32.499,390.5,60.699,15.789,4.465,6.56,23.528,18.655,0.997,71.847,20.36,51.616,41.774,6.609,30.195,37.092,35.765,32.857,70.895,29.104,46.807,29.487,23.705,0.193,0.086,ball_chaser
45,grand-champion-3,21,7.66E+16,0.525,21.666,0.355,16.666,25.333,392.1,35.439,16.249,2.822,12.656,39.755,5.132,0.349,65.482,11.352,50.008,44.343,5.648,37.285,30.181,31.84,36.621,74.571,25.428,49.165,32.478,18.355,0.152,0.181,defender
46,grand-champion-3,21,6a94cff104574a8a8d309c4f13d6883e,0.666,35.833,0.286,25.0,38.5,425.2,75.84,11.863,3.819,22.281,49.865,7.366,0.734,71.13,19.552,52.12,42.245,5.633,30.739,37.167,34.572,31.248,69.329,30.67,43.469,31.263,25.267,0.149,0.174,enforcer
48,grand-champion-3,21,033b8fdbeff9479d9f755cf72a2b86e9,0.366,25.833,0.408,50.833,27.5,416.0,58.43,13.537,3.671,9.68,32.869,7.748,0.879,65.891,13.257,54.725,39.092,6.181,28.704,37.324,37.085,31.846,69.14,30.859,44.927,32.07,23.001,0.191,0.157,playmaker
49,grand-champion-3,21,7.66E+16,0.66,40.416,0.226,27.083,41.333,425.0,73.721,11.296,3.879,16.673,44.821,7.39,0.923,68.708,15.568,54.711,38.746,6.541,26.583,35.877,36.424,29.716,67.263,32.736,41.149,34.448,24.402,0.259,0.219,enforcer
50,grand-champion-3,21,7.66E+16,0.63,44.0,0.369,26.166,30.333,435.7,82.079,14.796,3.846,14.823,43.305,7.919,0.502,71.517,21.615,53.057,40.318,6.623,35.24,31.298,35.652,30.813,73.03,26.969,49.79,29.609,20.6,0.162,0.214,ball_chaser
51,grand-champion-3,21,7.66E+16,0.411,9.583,0.299,37.916,12.5,399.5,88.355,12.412,3.545,15.881,39.051,7.965,0.623,68.934,20.615,53.45,41.466,5.083,41.081,28.939,27.98,40.603,72.228,27.771,48.553,31.936,19.509,0.285,0.209,defender
52,grand-champion-3,21,7.66E+16,0.56,31.851,0.26,30.0,33.333,365.9,57.0,9.1,3.66,10.233,26.007,16.989,0.799,66.3,15.291,54.099,37.842,8.058,38.869,27.615,32.988,34.644,77.718,22.281,50.055,29.512,20.432,0.219,0.1,freestyler
53,grand-champion-3,21,7.66E+16,0.839,48.333,0.239,10.0,27.976,416.1,36.415,10.63,5.015,7.706,29.278,14.158,1.019,74.052,25.026,44.102,46.594,9.302,30.956,35.574,32.282,35.557,70.539,29.46,41.425,30.562,28.012,0.239,0.2,freestyler
54,grand-champion-3,21,7.66E+16,0.443,18.333,0.307,10.0,23.333,374.5,47.918,10.451,3.94,10.666,27.783,17.969,0.571,68.147,19.119,50.874,43.491,5.634,38.171,28.611,31.959,31.413,75.779,24.22,47.889,31.781,20.328,0.151,0.215,defender
56,grand-champion-3,21,7.66E+16,0.588,62.962,0.294,9.259,39.499,420.9,60.278,10.108,4.541,10.443,34.176,16.367,0.745,66.286,15.177,54.777,37.647,7.575,33.492,34.399,34.026,34.386,68.461,31.538,47.864,31.998,20.137,0.317,0.097,enforcer
58,grand-champion-3,21,7.66E+16,0.747,38.333,0.139,35.0,17.666,390.3,45.021,12.675,3.499,13.01,40.848,10.739,0.915,68.313,15.254,51.021,40.686,8.291,29.21,37.323,33.061,34.52,67.263,32.736,45.805,30.608,23.585,0.39,0.192,enforcer
59,grand-champion-3,21,7.66E+16,0.765,61.666,0.289,15.0,39.357,442.2,80.997,12.121,4.245,14.313,34.934,11.138,0.782,70.686,20.829,53.219,40.826,5.954,33.581,35.058,32.752,36.303,71.449,28.55,43.979,32.111,23.908,0.148,0.13,striker
60,grand-champion-2,20,7.66E+16,0.666,65.0,0.275,13.333,44.333,401.6,65.671,11.725,4.169,12.921,37.09,12.136,0.693,70.986,21.488,51.374,40.915,7.709,36.026,32.142,33.265,32.886,73.415,26.584,49.708,30.936,19.355,0.08,0.193,freestyler
61,grand-champion-2,20,7.66E+16,0.297,10.833,0.265,31.666,15.833,359.7,67.968,12.151,3.558,7.458,25.754,12.68,0.813,68.2,18.053,53.906,39.022,7.071,31.712,35.709,34.913,34.191,68.685,31.314,49.845,28.955,21.198,0.14,0.25,playmaker
62,grand-champion-2,20,7.66E+16,0.851,54.166,0.336,27.5,34.499,430.5,82.718,15.198,4.078,8.95,33.442,9.475,0.875,72.495,25.267,52.515,41.115,6.368,31.299,35.999,36.266,30.416,71.959,28.04,47.188,30.615,22.196,0.531,0.191,ball_chaser
63,grand-champion-2,20,7.66E+16,0.434,32.5,0.379,41.666,33.999,370.7,50.292,11.298,4.349,7.662,26.207,12.268,0.731,66.969,13.874,58.925,33.718,7.355,32.005,33.704,32.479,34.174,71.952,28.047,47.029,32.635,20.335,0.318,0.12,playmaker
64,grand-champion-2,20,7.66E+16,0.426,37.5,0.412,10.833,31.666,365.7,41.366,11.53,3.617,12.354,34.904,14.303,0.526,65.282,13.462,54.037,41.0,4.961,33.452,30.832,34.631,30.385,74.619,25.38,54.508,27.827,17.663,0.093,0.133,defender
65,grand-champion-2,20,ee458ee713cd4d8e8f416c8d235924b6,0.457,30.952,0.199,39.285,24.833,463.7,76.093,11.513,4.594,11.097,31.184,15.217,0.991,71.682,20.892,50.166,40.582,9.251,30.736,40.064,34.029,35.315,65.398,34.601,40.14,34.029,25.829,0.2,0.119,freestyler
66,grand-champion-2,20,2917749ab4df435e8f0f901de1548a1f,0.415,31.666,0.249,33.333,36.166,395.8,64.124,10.156,3.972,9.55,31.512,14.624,0.903,68.452,16.879,53.744,40.112,6.142,35.934,32.21,34.346,33.216,74.483,25.516,44.318,33.726,21.954,0.278,0.159,playmaker
67,grand-champion-2,20,7.66E+16,0.64,55.555,0.276,11.111,38.428,342.7,33.916,14.165,3.173,8.357,27.64,12.377,0.895,65.799,14.566,58.31,35.838,5.851,34.785,29.98,33.694,33.0,72.858,27.141,46.599,29.983,23.416,0.176,0.32,striker
68,grand-champion-2,20,7.66E+16,0.484,37.5,0.292,37.333,39.499,379.9,62.547,11.175,3.753,13.615,34.251,14.212,0.659,69.373,20.276,53.249,40.821,5.929,34.419,34.195,31.372,38.036,70.873,29.126,48.126,29.345,22.527,0.256,0.094,playmaker
69,grand-champion-2,20,04abd24a8af547668c405d2d717026a0,0.651,25.833,0.212,43.333,16.666,378.2,37.094,12.95,3.408,9.56,30.76,9.495,0.464,68.956,14.276,52.731,40.769,6.499,36.134,34.242,33.154,36.034,72.753,27.246,44.087,33.984,21.928,0.217,0.09,playmaker
70,grand-champion-2,20,7.66E+16,0.694,25.925,0.224,25.0,13.666,347.5,43.343,13.995,3.151,6.279,26.733,10.332,0.765,66.795,13.877,57.853,37.598,4.548,33.134,31.328,32.839,30.844,72.947,27.052,42.822,34.168,23.008,0.1,0.188,striker
71,grand-champion-2,20,7.66E+16,0.518,55.208,0.172,28.125,41.999,462.5,84.363,12.181,4.464,11.831,36.921,5.126,0.726,73.869,27.514,52.962,41.024,6.013,35.49,33.074,31.439,37.164,69.031,30.968,46.657,30.488,22.853,0.367,0.19,enforcer
72,grand-champion-2,20,7.66E+16,0.616,15.625,0.3,35.416,12.499,414.9,54.442,12.301,3.681,16.918,39.03,7.956,0.64,68.686,18.063,50.166,42.805,7.027,34.892,32.755,35.932,31.026,70.286,29.713,43.776,33.451,22.772,0.272,0.28,freestyler
74,grand-champion-2,20,Mericristmas,0.507,40.833,0.285,30.833,54.999,445.2,88.506,13.098,4.28,11.969,39.698,9.852,0.623,72.513,24.567,49.699,42.052,8.247,31.26,33.438,36.394,28.795,72.741,27.258,46.801,30.096,23.102,0.123,0.14,freestyler
75,grand-champion-2,20,nioh-_-1327,0.636,72.916,0.355,10.416,28.999,437.3,80.035,12.118,3.907,14.051,36.684,13.107,0.548,68.3,17.231,52.427,40.873,6.699,32.472,34.367,38.872,29.11,68.744,31.255,46.446,31.135,22.417,0.217,0.09,ball_chaser
76,grand-champion-2,20,7.66E+16,0.596,25.333,0.257,7.5,17.833,402.3,31.681,12.452,3.713,12.107,31.986,10.767,0.832,65.743,13.455,55.133,39.082,5.783,33.422,32.774,31.669,34.577,69.326,30.673,41.52,34.317,24.161,0.164,0.192,enforcer
77,grand-champion-2,20,6b77f506c67c4cb0bc5a52c6e667ffc1,0.432,30.952,0.232,19.047,30.0,384.6,42.036,14.186,2.707,13.505,38.28,5.434,0.62,69.399,16.037,51.931,41.448,6.62,30.902,35.046,34.93,30.354,69.169,30.83,46.438,31.868,21.693,0.236,0.104,enforcer
78,grand-champion-2,20,7.66E+16,0.833,44.0,0.275,25.333,33.999,456.1,53.201,10.778,4.304,12.945,39.178,8.186,1.19,68.978,17.53,53.691,40.843,5.465,31.658,35.437,34.861,32.141,71.939,28.06,41.372,34.522,24.104,0.08,0.198,striker
